id,name,brand_name,category_name,sub_category_name,slug,thumb_image,qty,sku,price,offer_price,offer_start_price,offer_end_price,product_type,status,is_approved,short_description,long_description,seo_title,seo_description,created_at
22,"Samsung Galaxy Z Fold6 512GB Smartphone",Samsung,"Mobile Phones",Phone,samsung-galaxy-z-fold6-512gb-smartphone,"uploads/2026-03-09_1773066173_69aed7bd7f98b_samsung galaxy z fold6 512gb smartphone.jpg",25,SAM-MOB-ZFLD6-001,1599,1499,2026-03-01,2026-03-15,best,1,1,"<b>Foldable Smartphone</b><p>Premium foldable smartphone with large display, advanced AI features, and flagship performance.</p>","<b>Samsung Galaxy Z Fold6 512GB Smartphone</b><p>This foldable smartphone combines a large immersive display with powerful performance, premium build quality, and smart multitasking features. It is suitable for users who want productivity, entertainment, and advanced mobile technology in one device.</p><p>Designed for premium everyday use, content viewing, and modern multitasking workflows.</p>","Samsung Galaxy Z Fold6 512GB Smartphone","Shop Samsung Galaxy Z Fold6 512GB Smartphone with foldable display and premium flagship performance.","2025-06-30 16:23:58"
24,"Adidas Oversized Graphic T-Shirt",Adidas,Fashion,T-shirt,adidas-oversized-graphic-t-shirt,"uploads/2026-03-09_1773066301_69aed83d6f534_adidas oversized graphic t-shirt.jpg",100,ADI-FAS-TSH-002,28,22,2026-03-08,2026-03-30,featured,1,1,"<b>Adidas Oversized Graphic T-Shirt</b><p>Modern oversized cotton t-shirt with bold graphic print designed for casual streetwear and everyday comfort.</p>","<b>Adidas Oversized Graphic T-Shirt</b>  <p>This oversized graphic t-shirt from Adidas combines relaxed street style with breathable cotton fabric. The soft material ensures comfort while the loose silhouette offers a trendy urban look.</p>  <p><b>Features:</b></p>  <ul>  <li>100% breathable cotton fabric</li>  <li>Oversized relaxed fit</li>  <li>Bold Adidas graphic print</li>  <li>Perfect for casual and streetwear outfits</li>  </ul>","Adidas Oversized Graphic T-Shirt","Adidas oversized cotton graphic t-shirt designed for casual streetwear and daily comfort.","2026-03-08 10:37:14"
25,"Adidas Slim Fit Polo Shirt",Adidas,Fashion,Shirt,adidas-slim-fit-polo-shirt,"uploads/2026-03-09_1773066446_69aed8cedb5e7_adidas slim fit polo shirt.jpeg",80,ADI-FAS-POL-003,35,29,2026-03-08,2026-03-30,featured,1,1,"<b>Adidas Slim Fit Polo Shirt</b><p>Sporty slim fit polo shirt designed for casual and athletic wear.</p>","<b>Adidas Slim Fit Polo Shirt</b><p>This Adidas polo shirt combines sporty performance with modern style. The breathable fabric and tailored slim fit design make it perfect for both casual outings and light sports activities.</p>","Adidas Slim Fit Polo Shirt","Comfortable slim fit Adidas polo shirt for casual and sporty outfits.","2026-03-08 10:44:37"
26,"Puma Casual Street Hoodie",Puma,Fashion,"Hoodie & Sweater",puma-casual-street-hoodie,"uploads/2026-03-09_1773066537_69aed92935d8b_puma casual street hoodie-2.jpeg",60,PUM-FAS-HOD-004,45,38,2026-03-08,2026-03-30,featured,1,1,"<b>Puma Casual Street Hoodie</b><p>Comfortable streetwear hoodie designed for daily casual fashion.</p>","<b>Puma Casual Street Hoodie</b><p>This Puma hoodie offers soft fleece comfort with a relaxed streetwear style. Ideal for cool weather and everyday outfits.</p>","Puma Casual Street Hoodie","Puma fleece hoodie designed for casual everyday fashion.","2026-03-08 10:46:42"
27,"Nike Lightweight Windbreaker Jacket",Nike,Fashion,"Vest & Blazer",nike-lightweight-windbreaker-jacket,"uploads/2026-03-09_1773066660_69aed9a4083b2_nike lightweight windbreaker jacket-2.webp",50,NIK-FAS-JKT-005,70,60,2026-03-08,2026-03-30,featured,1,1,"<b>Nike Windbreaker Jacket</b><p>Lightweight jacket designed to protect against wind while staying breathable.</p>","<b>Nike Lightweight Windbreaker Jacket</b><p>This windbreaker jacket from Nike provides excellent comfort and wind protection while remaining lightweight and stylish.</p>","Nike Lightweight Windbreaker Jacket","Nike windbreaker jacket perfect for outdoor and casual wear.","2026-03-08 10:47:23"
28,"Reebok Training Jogger Pants",Reebok,Fashion,Trouser,reebok-training-jogger-pants,"uploads/2026-03-09_1773066763_69aeda0b11fd1_reebok training jogger pants.webp",75,REE-FAS-JOG-006,50,42,2026-03-08,2026-03-30,featured,1,1,"<b>Reebok Training Jogger Pants</b><p>Comfortable athletic jogger pants designed for workouts and casual wear.</p>","<b>Reebok Training Jogger Pants</b><p>These jogger pants feature flexible fabric and a tapered fit, providing comfort for training sessions and daily activities.</p>","Reebok Training Jogger Pants","Reebok athletic jogger pants for training and casual style.","2026-03-08 10:53:15"
29,"Under Armour Performance Training T-Shirt","Under Armour",Fashion,T-shirt,under-armour-performance-training-t-shirt,"uploads/2026-03-09_1773066900_69aeda940db89_under armour performance training t-shirt.webp",90,UA-FAS-TSH-007,32,26,2026-03-08,2026-03-30,featured,1,1,"<b>Under Armour Training T-Shirt</b><p>Performance t-shirt designed for workouts and active lifestyles.</p>","<b>Under Armour Performance Training T-Shirt</b><p>This lightweight athletic shirt features moisture-wicking fabric to keep you cool and comfortable during workouts.</p>","Under Armour Training T-Shirt","Under Armour athletic performance t-shirt designed for training.","2026-03-08 11:00:24"
30,"Adidas Streetwear Sweatshirt",Adidas,Fashion,"Hoodie & Sweater",adidas-streetwear-sweatshirt,"uploads/2026-03-09_1773067055_69aedb2f5f3f9_adidas streetwear sweatshirt-0.jpeg",85,ADI-FAS-SWT-008,42,36,2026-03-08,2026-03-30,featured,1,1,"<b>Adidas Streetwear Sweatshirt</b><p>Soft everyday sweatshirt with clean streetwear style and relaxed comfort.</p>","<b>Adidas Streetwear Sweatshirt</b><p>This sweatshirt combines casual comfort with a modern sporty look. The soft fabric and relaxed shape make it suitable for daily wear, cool evenings, and casual layering.</p><p>It pairs well with jeans, joggers, and sneakers for simple everyday fashion.</p>","Adidas Streetwear Sweatshirt","Shop Adidas Streetwear Sweatshirt with soft fabric and casual everyday comfort.","2026-03-08 11:23:57"
31,"Puma Slim Fit Denim Jeans",Puma,Fashion,Jean,puma-slim-fit-denim-jeans,"uploads/2026-03-09_1773067168_69aedba07a7a2_puma slim fit denim jeans.webp",70,PUM-FAS-JEA-009,58,49,2026-03-08,2026-03-29,top,1,1,"<b>Puma Slim Fit Denim Jeans</b><p>Modern slim fit jeans designed for casual wear and clean everyday style.</p>","<b>Puma Slim Fit Denim Jeans</b><p>These denim jeans feature a balanced slim fit and a versatile design for daily outfits. They are comfortable enough for regular wear and stylish enough for casual outings and weekend looks.</p><p>Easy to pair with t-shirts, polos, hoodies, and casual jackets.</p>","Puma Slim Fit Denim Jeans","Shop Puma Slim Fit Denim Jeans with casual style and comfortable everyday fit.","2026-03-08 11:23:57"
32,"Nike Sports Polo Shirt",Nike,Fashion,Shirt,nike-sports-polo-shirt,"uploads/2026-03-09_1773067294_69aedc1e3c8b3_nike sports polo shirt-2.png",75,NIK-FAS-POL-010,38,32,2026-03-08,2026-03-28,featured,1,1,"<b>Nike Sports Polo Shirt</b><p>Breathable polo shirt built for sporty comfort and polished casual outfits.</p>","<b>Nike Sports Polo Shirt</b><p>This polo shirt offers a clean sporty design with breathable fabric and comfortable fit. It works well for casual office days, weekend outings, and light outdoor activity.</p><p>A practical choice for customers who want comfort with a sharper everyday look.</p>","Nike Sports Polo Shirt","Shop Nike Sports Polo Shirt with breathable comfort and clean sporty style.","2026-03-08 11:23:57"
33,"Reebok Casual Pullover Hoodie",Reebok,Fashion,"Hoodie & Sweater",reebok-casual-pullover-hoodie,"uploads/2026-03-09_1773067903_69aede7f27ddb_reebok casual pullover hoodie.jpg",60,REE-FAS-HOD-011,46,39,2026-03-08,2026-03-30,featured,1,1,"<b>Reebok Casual Pullover Hoodie</b><p>Warm pullover hoodie designed for daily comfort and relaxed streetwear style.</p>","<b>Reebok Casual Pullover Hoodie</b><p>This hoodie delivers soft warmth and practical comfort for daily wear. Its relaxed fit and classic pullover style make it ideal for layering during cool weather and casual movement throughout the day.</p><p>Works well with joggers, denim, and sneakers for an easy sporty outfit.</p>","Reebok Casual Pullover Hoodie","Shop Reebok Casual Pullover Hoodie for soft comfort and relaxed everyday streetwear.","2026-03-08 11:23:57"
34,"Under Armour Athletic Shorts","Under Armour",Fashion,Trouser,under-armour-athletic-shorts,"uploads/2026-03-09_1773068193_69aedfa138249_under armour athletic shorts.jpg",95,UAR-FAS-SHO-012,30,25,2026-03-08,2026-03-27,new_arrival,1,1,"<b>Under Armour Athletic Shorts</b><p>Lightweight training shorts made for movement, comfort, and active everyday wear.</p>","<b>Under Armour Athletic Shorts</b><p>These athletic shorts are designed for workouts, jogging, and casual movement with lightweight fabric and comfortable structure. They provide flexibility and breathable wear for training sessions and active routines.</p><p>A solid option for fitness-focused customers and sporty casual use.</p>","Under Armour Athletic Shorts","Shop Under Armour Athletic Shorts with lightweight comfort and active performance design.","2026-03-08 11:23:57"
35,"Adidas Urban Bomber Jacket",Adidas,Fashion,"Vest & Blazer",adidas-urban-bomber-jacket,"uploads/2026-03-09_1773068241_69aedfd130c04_adidas urban bomber jacket.webp",55,ADI-FAS-JCK-013,78,68,2026-03-08,2026-03-30,best,1,1,"<b>Adidas Urban Bomber Jacket</b><p>Light bomber jacket with sporty urban style and comfortable everyday layering.</p>","<b>Adidas Urban Bomber Jacket</b><p>This bomber jacket blends sporty detail with a modern city look. It is lightweight enough for daily wear and practical enough for transitional weather and casual layering.</p><p>Ideal for pairing with jeans, t-shirts, and sneakers for a clean street-inspired outfit.</p>","Adidas Urban Bomber Jacket","Shop Adidas Urban Bomber Jacket with lightweight comfort and modern streetwear style.","2026-03-08 11:23:57"
36,"Puma Lightweight Zip Hoodie",Puma,Fashion,"Hoodie & Sweater",puma-lightweight-zip-hoodie,"uploads/2026-03-09_1773068340_69aee0341f421_puma lightweight zip hoodie 2.jpeg",68,PUM-FAS-HOD-014,44,37,2026-03-08,2026-03-26,featured,1,1,"<b>Puma Lightweight Zip Hoodie</b><p>Versatile zip hoodie designed for layering, movement, and casual daily comfort.</p>","<b>Puma Lightweight Zip Hoodie</b><p>This zip hoodie is made for easy layering and relaxed daily style. The lightweight build makes it useful for morning walks, casual trips, and everyday comfort without feeling heavy.</p><p>A flexible fashion item for users who want sporty practicality in daily outfits.</p>","Puma Lightweight Zip Hoodie","Shop Puma Lightweight Zip Hoodie with sporty comfort and practical everyday layering.","2026-03-08 11:23:57"
37,"Nike Everyday Crewneck Sweatshirt",Nike,Fashion,"Hoodie & Sweater",nike-everyday-crewneck-sweatshirt,"uploads/2026-03-09_1773068461_69aee0add2b32_nike everyday crewneck sweatshirt.jpg",72,NIK-FAS-SWT-015,40,34,2026-03-08,2026-03-28,top,1,1,"<b>Nike Everyday Crewneck Sweatshirt</b><p>Classic crewneck sweatshirt with soft fabric and easy casual everyday style.</p>","<b>Nike Everyday Crewneck Sweatshirt</b><p>This sweatshirt offers simple everyday comfort with a timeless crewneck shape and soft material feel. It is suitable for layering, casual wear, and comfortable indoor or outdoor use during cooler weather.</p><p>A dependable wardrobe essential for modern relaxed fashion.</p>","Nike Everyday Crewneck Sweatshirt","Shop Nike Everyday Crewneck Sweatshirt with soft comfort and classic casual style.","2026-03-08 11:23:57"
38,"Under Armour Performance Polo Shirt","Under Armour",Fashion,Shirt,under-armour-performance-polo-shirt,"uploads/2026-03-09_1773068606_69aee13e65cef_under armour performance polo shirt.jpg",64,UAR-FAS-POL-016,39,33,2026-03-08,2026-03-29,featured,1,1,"<b>Under Armour Performance Polo Shirt</b><p>Performance polo shirt designed for active comfort and clean smart-casual wear.</p>","<b>Under Armour Performance Polo Shirt</b><p>This polo shirt combines athletic functionality with a refined casual appearance. The breathable structure supports movement and comfort while maintaining a polished look for work, travel, or light sport activity.</p><p>A practical product for users who want comfort and versatility in one shirt.</p>","Under Armour Performance Polo Shirt","Shop Under Armour Performance Polo Shirt with breathable comfort and smart-casual style.","2026-03-08 11:23:57"
39,"Reebok Straight Fit Denim Jeans",Reebok,Fashion,Jean,reebok-straight-fit-denim-jeans,"uploads/2026-03-09_1773068677_69aee1851e289_reebok straight fit denim jeans.jpeg",66,REE-FAS-JEA-017,54,46,2026-03-08,2026-03-27,top,1,1,"<b>Reebok Straight Fit Denim Jeans</b><p>Comfortable straight fit jeans made for casual daily outfits and easy styling.</p>","<b>Reebok Straight Fit Denim Jeans</b><p>These jeans feature a clean straight fit that balances comfort and classic casual design. They are suitable for everyday wear, social outings, and practical wardrobe rotation.</p><p>Easy to style with polos, sweatshirts, hoodies, and sneakers.</p>","Reebok Straight Fit Denim Jeans","Shop Reebok Straight Fit Denim Jeans with casual comfort and classic everyday design.","2026-03-08 11:23:57"
40,"Nike Relaxed Fit Chino Trousers",Nike,Fashion,Trouser,nike-relaxed-fit-chino-trousers,"uploads/2026-03-09_1773068794_69aee1fa54c10_nike relaxed fit chino trousers.jpg",70,NIK-FAS-TRS-018,47,40,2026-03-08,2026-03-28,new_arrival,1,1,"<b>Nike Relaxed Fit Chino Trousers</b><p>Comfortable chino trousers designed for relaxed movement and versatile everyday wear.</p>","<b>Nike Relaxed Fit Chino Trousers</b><p>These chino trousers offer a clean casual appearance with a comfortable relaxed fit. They are suitable for work, travel, and daily outfits where comfort and simple style both matter.</p><p>They match well with t-shirts, polos, shirts, and casual jackets.</p>","Nike Relaxed Fit Chino Trousers","Shop Nike Relaxed Fit Chino Trousers with casual comfort and versatile everyday styling.","2026-03-08 11:23:57"
41,"Puma Essential Crew T-Shirt",Puma,Fashion,T-shirt,puma-essential-crew-t-shirt,"uploads/2026-03-09_1773068877_69aee24dd2d7e_puma essential crew t-shirt.webp",105,PUM-FAS-TSH-019,24,19,2026-03-08,2026-03-26,top,1,1,"<b>Puma Essential Crew T-Shirt</b><p>Everyday crew neck t-shirt with soft cotton feel and clean casual design.</p>","<b>Puma Essential Crew T-Shirt</b><p>This t-shirt is made for daily comfort with a straightforward design and breathable fabric feel. It works well for casual outfits, travel, and warm weather wear.</p><p>A reliable fashion basic that fits easily into everyday wardrobes.</p>","Puma Essential Crew T-Shirt","Shop Puma Essential Crew T-Shirt with soft cotton comfort and simple everyday style.","2026-03-08 11:23:57"
42,"Xiaomi Redmi Note 13 Smartphone",Xiaomi,"Mobile Phones",Phone,xiaomi-redmi-note-13-smartphone,"uploads/2026-03-09_1773069084_69aee31c72fa8_xiaomi redmi note 13 smartphone.jpg",85,XIA-MOB-PHN-001,299,259,2026-03-08,2026-03-25,featured,1,1,"<b>Xiaomi Redmi Note 13 Smartphone</b><p>Modern smartphone built for daily performance, smooth multitasking, and reliable battery life.</p>","<b>Xiaomi Redmi Note 13 Smartphone</b><p>This smartphone offers a balanced combination of display quality, battery efficiency, and stable everyday performance. It is suitable for messaging, content viewing, social media, and practical daily mobile use.</p><p>A smart choice for users looking for dependable smartphone features at a competitive value.</p>","Xiaomi Redmi Note 13 Smartphone","Shop Xiaomi Redmi Note 13 Smartphone with reliable performance and strong everyday battery life.","2026-03-08 11:41:53"
43,"Samsung Galaxy A55 Smartphone",Samsung,"Mobile Phones",Phone,samsung-galaxy-a55-smartphone,"uploads/2026-03-09_1773069249_69aee3c1ad010_samsung galaxy a55 smartphone.jpg",70,SAM-MOB-PHN-002,399,359,2026-03-08,2026-03-26,featured,1,1,"<b>Samsung Galaxy A55 Smartphone</b><p>Reliable smartphone designed for smooth daily performance, clear display quality, and strong battery support.</p>","<b>Samsung Galaxy A55 Smartphone</b><p>This smartphone is built for practical everyday use with stable performance, a modern display, and dependable battery life. It supports messaging, social media, video viewing, and casual mobile photography.</p><p>A suitable option for users who want balanced smartphone features with trusted Samsung usability.</p>","Samsung Galaxy A55 Smartphone","Shop Samsung Galaxy A55 Smartphone with reliable performance and strong everyday usability.","2026-03-08 11:48:52"
44,"Apple iPhone 14 Smartphone",Apple,"Mobile Phones",Phone,apple-iphone-14-smartphone,"uploads/2026-03-09_1773069328_69aee4103398e_apple iphone 14 smartphone.webp",45,APP-MOB-PHN-003,799,739,2026-03-08,2026-03-24,best,1,1,"<b>Apple iPhone 14 Smartphone</b><p>Premium smartphone offering smooth performance, polished design, and dependable everyday mobile experience.</p>","<b>Apple iPhone 14 Smartphone</b><p>This smartphone combines strong performance, clean design, and user friendly interface for daily communication, entertainment, and photography. It is ideal for users who want dependable speed and premium device quality.</p><p>A practical choice for customers looking for a refined Apple mobile experience.</p>","Apple iPhone 14 Smartphone","Shop Apple iPhone 14 Smartphone with premium design and smooth everyday performance.","2026-03-08 11:48:52"
45,"Xiaomi Poco X6 Pro Smartphone",Xiaomi,"Mobile Phones",Phone,xiaomi-poco-x6-pro-smartphone,"uploads/2026-03-09_1773069396_69aee45482f38_xiaomi poco x6 pro smartphone.jpg",60,XIA-MOB-PHN-004,349,309,2026-03-08,2026-03-26,top,1,1,"<b>Xiaomi Poco X6 Pro Smartphone</b><p>Fast smartphone designed for multitasking, entertainment, and responsive daily mobile use.</p>","<b>Xiaomi Poco X6 Pro Smartphone</b><p>This smartphone delivers strong speed, modern display performance, and dependable daily usability for mobile browsing, streaming, and app use. It is suitable for customers who want practical power and stylish design.</p><p>A strong option for users looking for performance driven value in a smartphone.</p>","Xiaomi Poco X6 Pro Smartphone","Shop Xiaomi Poco X6 Pro Smartphone with smooth performance and modern everyday features.","2026-03-08 11:48:52"
46,"Samsung Galaxy Tab A9 Tablet",Samsung,"Mobile Phones",Tablet,samsung-galaxy-tab-a9-tablet,"uploads/2026-03-09_1773069486_69aee4ae772df_samsung galaxy tab a9 tablet.webp",40,SAM-MOB-TAB-005,259,229,2026-03-08,2026-03-25,featured,1,1,"<b>Samsung Galaxy Tab A9 Tablet</b><p>Portable tablet made for entertainment, online study, and lightweight daily productivity.</p>","<b>Samsung Galaxy Tab A9 Tablet</b><p>This tablet offers practical screen space, portable convenience, and reliable performance for media viewing, note taking, and general browsing. It is suitable for users who want a flexible device for home, school, or travel.</p><p>A useful tablet for everyday digital tasks and casual entertainment.</p>","Samsung Galaxy Tab A9 Tablet","Shop Samsung Galaxy Tab A9 Tablet for entertainment, study, and portable daily use.","2026-03-08 11:48:52"
