product_id,product_name,brand_name,category_name,sub_category_name,slug,thumb_image,qty,sku,price,offer_price,offer_start_price,offer_end_price,product_type,status,is_approved,short_description,long_description,seo_title,seo_description,created_at
19,selons classic blue jeans,Selons,Fashion,Jean,selons-classic-blue-jeans,uploads/2026-03-09_1773065684_69aed5d400872_selons classic blue jeans.webp,95,sel-fas-jea-001,48,42,2026-03-01,2026-03-19,top,1,1,"blue jeansclassic fit jeans designed for daily comfort, casual style, and versatile wear.","selons classic blue jeansthese jeans feature a timeless everyday look with balanced comfort and simple styling. they are suitable for work, travel, and casual daily outfits, making them a reliable wardrobe essential.easy to combine with t-shirts, sweaters, jackets, and sneakers for a clean casual appearance.",selons classic blue jeans,shop selons classic blue jeans for casual comfort and timeless everyday style.,2024-03-20 07:00:34
20,selons baggy trousers,Selons,Fashion,Trouser,selons-baggy-trousers,uploads/2026-03-09_1773065869_69aed68d25b2b_selons baggy trousers.webp,90,sel-fas-trs-001,38,33,2026-03-01,2026-03-18,featured,1,1,"baggy trousersrelaxed fit trousers created for comfort, movement, and casual everyday styling.","selons baggy trousersthese trousers offer a loose comfortable fit and easy casual styling for daily outfits. they are suitable for users who prefer breathable movement, relaxed silhouettes, and practical wear throughout the day.a flexible option for pairing with t-shirts, hoodies, and casual sneakers.",selons baggy trousers,shop selons baggy trousers with relaxed fit and comfortable everyday wear.,2024-03-20 07:03:26
21,selons cotton shorts,Selons,Fashion,Trouser,selons-cotton-shorts,uploads/2026-03-09_1773066059_69aed74bf220c_selons cotton shorts.jpeg,85,sel-fas-sho-001,24,20,2026-03-01,2026-03-17,new_arrival,1,1,"cotton shortscomfortable casual shorts designed for daily wear, warm weather, and easy movement.","selons cotton shortsthese shorts provide lightweight comfort and a clean casual look suitable for daily activities, travel, and relaxed weekend outfits. they are made for breathable wear and simple styling during warmer days.a useful wardrobe option for users who want comfort and flexibility in casual fashion.",selons cotton shorts,shop selons cotton shorts with lightweight comfort and casual warm weather style.,2024-03-25 04:19:08
22,samsung galaxy z fold6 512gb smartphone,Samsung,Mobile Phones,Phone,samsung-galaxy-z-fold6-512gb-smartphone,uploads/2026-03-09_1773066173_69aed7bd7f98b_samsung galaxy z fold6 512gb smartphone.jpg,25,sam-mob-zfld6-001,1599,1499,2026-03-01,2026-03-15,best,1,1,"foldable smartphonepremium foldable smartphone with large display, advanced ai features, and flagship performance.","samsung galaxy z fold6 512gb smartphonethis foldable smartphone combines a large immersive display with powerful performance, premium build quality, and smart multitasking features. it is suitable for users who want productivity, entertainment, and advanced mobile technology in one device.designed for premium everyday use, content viewing, and modern multitasking workflows.",samsung galaxy z fold6 512gb smartphone,shop samsung galaxy z fold6 512gb smartphone with foldable display and premium flagship performance.,2025-06-30 16:23:58
24,adidas oversized graphic t-shirt,Adidas,Fashion,T-shirt,adidas-oversized-graphic-t-shirt,uploads/2026-03-09_1773066301_69aed83d6f534_adidas oversized graphic t-shirt.jpg,100,adi-fas-tsh-002,28,22,2026-03-08,2026-03-30,featured,1,1,adidas oversized graphic t-shirtmodern oversized cotton t-shirt with bold graphic print designed for casual streetwear and everyday comfort.,adidas oversized graphic t-shirt this oversized graphic t-shirt from adidas combines relaxed street style with breathable cotton fabric. the soft material ensures comfort while the loose silhouette offers a trendy urban look. features: 100% breathable cotton fabric oversized relaxed fit bold adidas graphic print perfect for casual and streetwear outfits,adidas oversized graphic t-shirt,adidas oversized cotton graphic t-shirt designed for casual streetwear and daily comfort.,2026-03-08 10:37:14
25,adidas slim fit polo shirt,Adidas,Fashion,Shirt,adidas-slim-fit-polo-shirt,uploads/2026-03-09_1773066446_69aed8cedb5e7_adidas slim fit polo shirt.jpeg,80,adi-fas-pol-003,35,29,2026-03-08,2026-03-30,featured,1,1,adidas slim fit polo shirtsporty slim fit polo shirt designed for casual and athletic wear.,adidas slim fit polo shirtthis adidas polo shirt combines sporty performance with modern style. the breathable fabric and tailored slim fit design make it perfect for both casual outings and light sports activities.,adidas slim fit polo shirt,comfortable slim fit adidas polo shirt for casual and sporty outfits.,2026-03-08 10:44:37
26,puma casual street hoodie,Puma,Fashion,Hoodie & Sweater,puma-casual-street-hoodie,uploads/2026-03-09_1773066537_69aed92935d8b_puma casual street hoodie-2.jpeg,60,pum-fas-hod-004,45,38,2026-03-08,2026-03-30,featured,1,1,puma casual street hoodiecomfortable streetwear hoodie designed for daily casual fashion.,puma casual street hoodiethis puma hoodie offers soft fleece comfort with a relaxed streetwear style. ideal for cool weather and everyday outfits.,puma casual street hoodie,puma fleece hoodie designed for casual everyday fashion.,2026-03-08 10:46:42
27,nike lightweight windbreaker jacket,Nike,Fashion,Vest & Blazer,nike-lightweight-windbreaker-jacket,uploads/2026-03-09_1773066660_69aed9a4083b2_nike lightweight windbreaker jacket-2.webp,50,nik-fas-jkt-005,70,60,2026-03-08,2026-03-30,featured,1,1,nike windbreaker jacketlightweight jacket designed to protect against wind while staying breathable.,nike lightweight windbreaker jacketthis windbreaker jacket from nike provides excellent comfort and wind protection while remaining lightweight and stylish.,nike lightweight windbreaker jacket,nike windbreaker jacket perfect for outdoor and casual wear.,2026-03-08 10:47:23
28,reebok training jogger pants,Reebok,Fashion,Trouser,reebok-training-jogger-pants,uploads/2026-03-09_1773066763_69aeda0b11fd1_reebok training jogger pants.webp,75,ree-fas-jog-006,50,42,2026-03-08,2026-03-30,featured,1,1,reebok training jogger pantscomfortable athletic jogger pants designed for workouts and casual wear.,"reebok training jogger pantsthese jogger pants feature flexible fabric and a tapered fit, providing comfort for training sessions and daily activities.",reebok training jogger pants,reebok athletic jogger pants for training and casual style.,2026-03-08 10:53:15
29,under armour performance training t-shirt,Under Armour,Fashion,T-shirt,under-armour-performance-training-t-shirt,uploads/2026-03-09_1773066900_69aeda940db89_under armour performance training t-shirt.webp,90,ua-fas-tsh-007,32,26,2026-03-08,2026-03-30,featured,1,1,under armour training t-shirtperformance t-shirt designed for workouts and active lifestyles.,under armour performance training t-shirtthis lightweight athletic shirt features moisture-wicking fabric to keep you cool and comfortable during workouts.,under armour training t-shirt,under armour athletic performance t-shirt designed for training.,2026-03-08 11:00:24
30,adidas streetwear sweatshirt,Adidas,Fashion,Hoodie & Sweater,adidas-streetwear-sweatshirt,uploads/2026-03-09_1773067055_69aedb2f5f3f9_adidas streetwear sweatshirt-0.jpeg,85,adi-fas-swt-008,42,36,2026-03-08,2026-03-30,featured,1,1,adidas streetwear sweatshirtsoft everyday sweatshirt with clean streetwear style and relaxed comfort.,"adidas streetwear sweatshirtthis sweatshirt combines casual comfort with a modern sporty look. the soft fabric and relaxed shape make it suitable for daily wear, cool evenings, and casual layering.it pairs well with jeans, joggers, and sneakers for simple everyday fashion.",adidas streetwear sweatshirt,shop adidas streetwear sweatshirt with soft fabric and casual everyday comfort.,2026-03-08 11:23:57
31,puma slim fit denim jeans,Puma,Fashion,Jean,puma-slim-fit-denim-jeans,uploads/2026-03-09_1773067168_69aedba07a7a2_puma slim fit denim jeans.webp,70,pum-fas-jea-009,58,49,2026-03-08,2026-03-29,top,1,1,puma slim fit denim jeansmodern slim fit jeans designed for casual wear and clean everyday style.,"puma slim fit denim jeansthese denim jeans feature a balanced slim fit and a versatile design for daily outfits. they are comfortable enough for regular wear and stylish enough for casual outings and weekend looks.easy to pair with t-shirts, polos, hoodies, and casual jackets.",puma slim fit denim jeans,shop puma slim fit denim jeans with casual style and comfortable everyday fit.,2026-03-08 11:23:57
32,nike sports polo shirt,Nike,Fashion,Shirt,nike-sports-polo-shirt,uploads/2026-03-09_1773067294_69aedc1e3c8b3_nike sports polo shirt-2.png,75,nik-fas-pol-010,38,32,2026-03-08,2026-03-28,featured,1,1,nike sports polo shirtbreathable polo shirt built for sporty comfort and polished casual outfits.,"nike sports polo shirtthis polo shirt offers a clean sporty design with breathable fabric and comfortable fit. it works well for casual office days, weekend outings, and light outdoor activity.a practical choice for customers who want comfort with a sharper everyday look.",nike sports polo shirt,shop nike sports polo shirt with breathable comfort and clean sporty style.,2026-03-08 11:23:57
33,reebok casual pullover hoodie,Reebok,Fashion,Hoodie & Sweater,reebok-casual-pullover-hoodie,uploads/2026-03-09_1773067903_69aede7f27ddb_reebok casual pullover hoodie.jpg,60,ree-fas-hod-011,46,39,2026-03-08,2026-03-30,featured,1,1,reebok casual pullover hoodiewarm pullover hoodie designed for daily comfort and relaxed streetwear style.,"reebok casual pullover hoodiethis hoodie delivers soft warmth and practical comfort for daily wear. its relaxed fit and classic pullover style make it ideal for layering during cool weather and casual movement throughout the day.works well with joggers, denim, and sneakers for an easy sporty outfit.",reebok casual pullover hoodie,shop reebok casual pullover hoodie for soft comfort and relaxed everyday streetwear.,2026-03-08 11:23:57
34,under armour athletic shorts,Under Armour,Fashion,Trouser,under-armour-athletic-shorts,uploads/2026-03-09_1773068193_69aedfa138249_under armour athletic shorts.jpg,95,uar-fas-sho-012,30,25,2026-03-08,2026-03-27,new_arrival,1,1,"under armour athletic shortslightweight training shorts made for movement, comfort, and active everyday wear.","under armour athletic shortsthese athletic shorts are designed for workouts, jogging, and casual movement with lightweight fabric and comfortable structure. they provide flexibility and breathable wear for training sessions and active routines.a solid option for fitness-focused customers and sporty casual use.",under armour athletic shorts,shop under armour athletic shorts with lightweight comfort and active performance design.,2026-03-08 11:23:57
35,adidas urban bomber jacket,Adidas,Fashion,Vest & Blazer,adidas-urban-bomber-jacket,uploads/2026-03-09_1773068241_69aedfd130c04_adidas urban bomber jacket.webp,55,adi-fas-jck-013,78,68,2026-03-08,2026-03-30,best,1,1,adidas urban bomber jacketlight bomber jacket with sporty urban style and comfortable everyday layering.,"adidas urban bomber jacketthis bomber jacket blends sporty detail with a modern city look. it is lightweight enough for daily wear and practical enough for transitional weather and casual layering.ideal for pairing with jeans, t-shirts, and sneakers for a clean street-inspired outfit.",adidas urban bomber jacket,shop adidas urban bomber jacket with lightweight comfort and modern streetwear style.,2026-03-08 11:23:57
36,puma lightweight zip hoodie,Puma,Fashion,Hoodie & Sweater,puma-lightweight-zip-hoodie,uploads/2026-03-09_1773068340_69aee0341f421_puma lightweight zip hoodie 2.jpeg,68,pum-fas-hod-014,44,37,2026-03-08,2026-03-26,featured,1,1,"puma lightweight zip hoodieversatile zip hoodie designed for layering, movement, and casual daily comfort.","puma lightweight zip hoodiethis zip hoodie is made for easy layering and relaxed daily style. the lightweight build makes it useful for morning walks, casual trips, and everyday comfort without feeling heavy.a flexible fashion item for users who want sporty practicality in daily outfits.",puma lightweight zip hoodie,shop puma lightweight zip hoodie with sporty comfort and practical everyday layering.,2026-03-08 11:23:57
37,nike everyday crewneck sweatshirt,Nike,Fashion,Hoodie & Sweater,nike-everyday-crewneck-sweatshirt,uploads/2026-03-09_1773068461_69aee0add2b32_nike everyday crewneck sweatshirt.jpg,72,nik-fas-swt-015,40,34,2026-03-08,2026-03-28,top,1,1,nike everyday crewneck sweatshirtclassic crewneck sweatshirt with soft fabric and easy casual everyday style.,"nike everyday crewneck sweatshirtthis sweatshirt offers simple everyday comfort with a timeless crewneck shape and soft material feel. it is suitable for layering, casual wear, and comfortable indoor or outdoor use during cooler weather.a dependable wardrobe essential for modern relaxed fashion.",nike everyday crewneck sweatshirt,shop nike everyday crewneck sweatshirt with soft comfort and classic casual style.,2026-03-08 11:23:57
38,under armour performance polo shirt,Under Armour,Fashion,Shirt,under-armour-performance-polo-shirt,uploads/2026-03-09_1773068606_69aee13e65cef_under armour performance polo shirt.jpg,64,uar-fas-pol-016,39,33,2026-03-08,2026-03-29,featured,1,1,under armour performance polo shirtperformance polo shirt designed for active comfort and clean smart-casual wear.,"under armour performance polo shirtthis polo shirt combines athletic functionality with a refined casual appearance. the breathable structure supports movement and comfort while maintaining a polished look for work, travel, or light sport activity.a practical product for users who want comfort and versatility in one shirt.",under armour performance polo shirt,shop under armour performance polo shirt with breathable comfort and smart-casual style.,2026-03-08 11:23:57
39,reebok straight fit denim jeans,Reebok,Fashion,Jean,reebok-straight-fit-denim-jeans,uploads/2026-03-09_1773068677_69aee1851e289_reebok straight fit denim jeans.jpeg,66,ree-fas-jea-017,54,46,2026-03-08,2026-03-27,top,1,1,reebok straight fit denim jeanscomfortable straight fit jeans made for casual daily outfits and easy styling.,"reebok straight fit denim jeansthese jeans feature a clean straight fit that balances comfort and classic casual design. they are suitable for everyday wear, social outings, and practical wardrobe rotation.easy to style with polos, sweatshirts, hoodies, and sneakers.",reebok straight fit denim jeans,shop reebok straight fit denim jeans with casual comfort and classic everyday design.,2026-03-08 11:23:57
40,nike relaxed fit chino trousers,Nike,Fashion,Trouser,nike-relaxed-fit-chino-trousers,uploads/2026-03-09_1773068794_69aee1fa54c10_nike relaxed fit chino trousers.jpg,70,nik-fas-trs-018,47,40,2026-03-08,2026-03-28,new_arrival,1,1,nike relaxed fit chino trouserscomfortable chino trousers designed for relaxed movement and versatile everyday wear.,"nike relaxed fit chino trousersthese chino trousers offer a clean casual appearance with a comfortable relaxed fit. they are suitable for work, travel, and daily outfits where comfort and simple style both matter.they match well with t-shirts, polos, shirts, and casual jackets.",nike relaxed fit chino trousers,shop nike relaxed fit chino trousers with casual comfort and versatile everyday styling.,2026-03-08 11:23:57
41,puma essential crew t-shirt,Puma,Fashion,T-shirt,puma-essential-crew-t-shirt,uploads/2026-03-09_1773068877_69aee24dd2d7e_puma essential crew t-shirt.webp,105,pum-fas-tsh-019,24,19,2026-03-08,2026-03-26,top,1,1,puma essential crew t-shirteveryday crew neck t-shirt with soft cotton feel and clean casual design.,"puma essential crew t-shirtthis t-shirt is made for daily comfort with a straightforward design and breathable fabric feel. it works well for casual outfits, travel, and warm weather wear.a reliable fashion basic that fits easily into everyday wardrobes.",puma essential crew t-shirt,shop puma essential crew t-shirt with soft cotton comfort and simple everyday style.,2026-03-08 11:23:57
42,xiaomi redmi note 13 smartphone,Xiaomi,Mobile Phones,Phone,xiaomi-redmi-note-13-smartphone,uploads/2026-03-09_1773069084_69aee31c72fa8_xiaomi redmi note 13 smartphone.jpg,85,xia-mob-phn-001,299,259,2026-03-08,2026-03-25,featured,1,1,"xiaomi redmi note 13 smartphonemodern smartphone built for daily performance, smooth multitasking, and reliable battery life.","xiaomi redmi note 13 smartphonethis smartphone offers a balanced combination of display quality, battery efficiency, and stable everyday performance. it is suitable for messaging, content viewing, social media, and practical daily mobile use.a smart choice for users looking for dependable smartphone features at a competitive value.",xiaomi redmi note 13 smartphone,shop xiaomi redmi note 13 smartphone with reliable performance and strong everyday battery life.,2026-03-08 11:41:53
43,samsung galaxy a55 smartphone,Samsung,Mobile Phones,Phone,samsung-galaxy-a55-smartphone,uploads/2026-03-09_1773069249_69aee3c1ad010_samsung galaxy a55 smartphone.jpg,70,sam-mob-phn-002,399,359,2026-03-08,2026-03-26,featured,1,1,"samsung galaxy a55 smartphonereliable smartphone designed for smooth daily performance, clear display quality, and strong battery support.","samsung galaxy a55 smartphonethis smartphone is built for practical everyday use with stable performance, a modern display, and dependable battery life. it supports messaging, social media, video viewing, and casual mobile photography.a suitable option for users who want balanced smartphone features with trusted samsung usability.",samsung galaxy a55 smartphone,shop samsung galaxy a55 smartphone with reliable performance and strong everyday usability.,2026-03-08 11:48:52
44,apple iphone 14 smartphone,Apple,Mobile Phones,Phone,apple-iphone-14-smartphone,uploads/2026-03-09_1773069328_69aee4103398e_apple iphone 14 smartphone.webp,45,app-mob-phn-003,799,739,2026-03-08,2026-03-24,best,1,1,"apple iphone 14 smartphonepremium smartphone offering smooth performance, polished design, and dependable everyday mobile experience.","apple iphone 14 smartphonethis smartphone combines strong performance, clean design, and user friendly interface for daily communication, entertainment, and photography. it is ideal for users who want dependable speed and premium device quality.a practical choice for customers looking for a refined apple mobile experience.",apple iphone 14 smartphone,shop apple iphone 14 smartphone with premium design and smooth everyday performance.,2026-03-08 11:48:52
45,xiaomi poco x6 pro smartphone,Xiaomi,Mobile Phones,Phone,xiaomi-poco-x6-pro-smartphone,uploads/2026-03-09_1773069396_69aee45482f38_xiaomi poco x6 pro smartphone.jpg,60,xia-mob-phn-004,349,309,2026-03-08,2026-03-26,top,1,1,"xiaomi poco x6 pro smartphonefast smartphone designed for multitasking, entertainment, and responsive daily mobile use.","xiaomi poco x6 pro smartphonethis smartphone delivers strong speed, modern display performance, and dependable daily usability for mobile browsing, streaming, and app use. it is suitable for customers who want practical power and stylish design.a strong option for users looking for performance driven value in a smartphone.",xiaomi poco x6 pro smartphone,shop xiaomi poco x6 pro smartphone with smooth performance and modern everyday features.,2026-03-08 11:48:52
46,samsung galaxy tab a9 tablet,Samsung,Mobile Phones,Tablet,samsung-galaxy-tab-a9-tablet,uploads/2026-03-09_1773069486_69aee4ae772df_samsung galaxy tab a9 tablet.webp,40,sam-mob-tab-005,259,229,2026-03-08,2026-03-25,featured,1,1,"samsung galaxy tab a9 tabletportable tablet made for entertainment, online study, and lightweight daily productivity.","samsung galaxy tab a9 tabletthis tablet offers practical screen space, portable convenience, and reliable performance for media viewing, note taking, and general browsing. it is suitable for users who want a flexible device for home, school, or travel.a useful tablet for everyday digital tasks and casual entertainment.",samsung galaxy tab a9 tablet,"shop samsung galaxy tab a9 tablet for entertainment, study, and portable daily use.",2026-03-08 11:48:52
47,apple ipad 10th generation tablet,Apple,Mobile Phones,Tablet,apple-ipad-10th-generation-tablet,uploads/2026-03-09_1773069604_69aee52441248_apple ipad 10th generation tablet-2.jpeg,35,app-mob-tab-006,449,409,2026-03-08,2026-03-24,best,1,1,"apple ipad 10th generation tabletversatile tablet built for study, creativity, browsing, and smooth app performance.","apple ipad 10th generation tabletthis tablet provides a balanced combination of portability, screen clarity, and reliable everyday performance. it works well for note taking, learning, content viewing, and casual productivity.a strong choice for users who want a premium and flexible tablet experience.",apple ipad 10th generation tablet,"shop apple ipad 10th generation tablet for study, creativity, and smooth daily performance.",2026-03-08 11:48:52
48,xiaomi pad 6 tablet,Xiaomi,Mobile Phones,Tablet,xiaomi-pad-6-tablet,uploads/2026-03-09_1773069702_69aee586a3f17_xiaomi pad 6 tablet.jpg,38,xia-mob-tab-007,329,289,2026-03-08,2026-03-27,top,1,1,"xiaomi pad 6 tablethigh value tablet designed for streaming, work, and portable everyday productivity.","xiaomi pad 6 tabletthis tablet combines clear display quality, smooth operation, and portable convenience for users who want a flexible daily device. it supports entertainment, online meetings, and casual digital work.a solid option for customers looking for useful tablet performance at a competitive price.",xiaomi pad 6 tablet,shop xiaomi pad 6 tablet with clear display and reliable daily tablet performance.,2026-03-08 11:48:52
49,apple clear magsafe phone case,Apple,Mobile Phones,Phone Case,apple-clear-magsafe-phone-case,uploads/2026-03-09_1773069787_69aee5db6b8d6_apple clear magsafe phone case-1.webp,100,app-mob-cas-008,39,32,2026-03-08,2026-03-28,featured,1,1,apple clear magsafe phone caseprotective phone case with slim design and practical everyday durability.,apple clear magsafe phone casethis phone case is designed to protect the device while preserving a slim and clean appearance. it offers reliable daily protection against scratches and minor impacts while maintaining comfortable handling.a useful accessory for users who want simple protection without bulky design.,apple clear magsafe phone case,shop apple clear magsafe phone case with slim protection and clean transparent design.,2026-03-08 11:48:52
50,samsung silicone protective phone case,Samsung,Mobile Phones,Phone Case,samsung-silicone-protective-phone-case,uploads/2026-03-09_1773069880_69aee638475ff_samsung silicone protective phone case=1.jpg,110,sam-mob-cas-009,25,20,2026-03-08,2026-03-27,top,1,1,samsung silicone protective phone casesoft touch phone case made for comfortable grip and everyday protection.,"samsung silicone protective phone casethis phone case provides lightweight protection with a soft silicone feel that improves grip and comfort. it helps protect against scratches, minor drops, and daily wear while keeping the device easy to use.a practical protective accessory for regular mobile use.",samsung silicone protective phone case,shop samsung silicone protective phone case with soft touch grip and daily protection.,2026-03-08 11:48:52
51,xiaomi shockproof phone case,Xiaomi,Mobile Phones,Phone Case,xiaomi-shockproof-phone-case,uploads/2026-03-09_1773069959_69aee687b994b_xiaomi shockproof phone case.jpg,95,xia-mob-cas-010,19,15,2026-03-08,2026-03-26,featured,1,1,xiaomi shockproof phone casedurable phone case designed for impact resistance and reliable everyday device protection.,xiaomi shockproof phone casethis phone case offers reinforced protection with a secure fit and practical daily durability. it helps reduce damage from light drops and scratches while maintaining comfortable access to the phone.a useful option for users who want stronger device safety in active daily use.,xiaomi shockproof phone case,shop xiaomi shockproof phone case with durable protection and secure everyday fit.,2026-03-08 11:48:52
54,xiaomi fast charging phone battery pack,Xiaomi,Mobile Phones,Battery,xiaomi-fast-charging-phone-battery-pack,uploads/2026-03-09_1773070193_69aee77135565_xiaomi fast charging phone battery pack-1.jpg,75,xia-mob-bat-013,29,24,2026-03-08,2026-03-28,featured,1,1,xiaomi fast charging phone battery packrechargeable battery accessory built for extended mobile power and convenient backup charging.,"xiaomi fast charging phone battery packthis battery pack is designed to support mobile users who need additional power during travel, work, or heavy daily usage. it provides practical backup charging and dependable energy support for compatible devices.a useful mobile accessory for users who prioritize battery convenience and portability.",xiaomi fast charging phone battery pack,shop xiaomi fast charging phone battery pack for portable power and backup mobile charging.,2026-03-08 11:48:52
